,增长,通胀,利率,信用,海外,美元
2013-08-11,-1.0,1.0,-1.0,1.0,-1.0,-1.0
2013-08-18,1.0,1.0,-1.0,1.0,-1.0,-1.0
2013-08-25,1.0,1.0,-1.0,1.0,-1.0,1.0
2013-09-01,1.0,1.0,-1.0,1.0,-1.0,1.0
2013-09-08,1.0,1.0,1.0,1.0,1.0,1.0
2013-09-15,-1.0,-1.0,1.0,1.0,1.0,1.0
2013-09-22,1.0,-1.0,1.0,1.0,-1.0,1.0
2013-09-29,-1.0,-1.0,1.0,1.0,-1.0,1.0
2013-10-06,-1.0,-1.0,1.0,1.0,-1.0,-1.0
2013-10-13,-1.0,-1.0,1.0,-1.0,-1.0,1.0
2013-10-20,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2013-10-27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2013-11-03,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2013-11-10,1.0,1.0,-1.0,1.0,-1.0,-1.0
2013-11-17,1.0,-1.0,-1.0,1.0,-1.0,-1.0
2013-11-24,1.0,-1.0,-1.0,1.0,-1.0,1.0
2013-12-01,1.0,-1.0,-1.0,-1.0,-1.0,1.0
2013-12-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2013-12-15,-1.0,-1.0,-1.0,1.0,-1.0,1.0
2013-12-22,-1.0,-1.0,-1.0,1.0,-1.0,1.0
2013-12-29,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2014-01-05,-1.0,-1.0,-1.0,1.0,-1.0,1.0
2014-01-12,-1.0,-1.0,1.0,-1.0,-1.0,1.0
2014-01-19,-1.0,-1.0,1.0,-1.0,-1.0,1.0
2014-01-26,-1.0,-1.0,1.0,-1.0,-1.0,1.0
2014-02-02,-1.0,-1.0,1.0,-1.0,-1.0,1.0
2014-02-09,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2014-02-16,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2014-02-23,1.0,-1.0,1.0,-1.0,-1.0,-1.0
2014-03-02,1.0,1.0,1.0,-1.0,1.0,-1.0
2014-03-09,1.0,1.0,1.0,1.0,-1.0,-1.0
2014-03-16,-1.0,1.0,1.0,-1.0,1.0,-1.0
2014-03-23,1.0,1.0,1.0,1.0,1.0,-1.0
2014-03-30,1.0,1.0,1.0,1.0,1.0,-1.0
2014-04-06,1.0,1.0,-1.0,1.0,1.0,-1.0
2014-04-13,1.0,1.0,-1.0,1.0,-1.0,-1.0
2014-04-20,1.0,1.0,-1.0,-1.0,1.0,-1.0
2014-04-27,1.0,1.0,-1.0,1.0,1.0,-1.0
2014-05-04,1.0,1.0,-1.0,1.0,-1.0,1.0
2014-05-11,-1.0,1.0,1.0,-1.0,1.0,-1.0
2014-05-18,1.0,1.0,-1.0,1.0,-1.0,-1.0
2014-05-25,1.0,1.0,1.0,-1.0,-1.0,-1.0
2014-06-01,1.0,1.0,1.0,-1.0,-1.0,1.0
2014-06-08,1.0,1.0,1.0,-1.0,-1.0,1.0
2014-06-15,1.0,1.0,1.0,-1.0,-1.0,1.0
2014-06-22,1.0,-1.0,1.0,-1.0,-1.0,1.0
2014-06-29,1.0,-1.0,1.0,1.0,-1.0,-1.0
2014-07-06,1.0,-1.0,1.0,1.0,-1.0,-1.0
2014-07-13,1.0,-1.0,1.0,-1.0,-1.0,-1.0
2014-07-20,1.0,-1.0,1.0,1.0,-1.0,1.0
2014-07-27,1.0,-1.0,1.0,1.0,-1.0,1.0
2014-08-03,1.0,-1.0,1.0,1.0,-1.0,1.0
2014-08-10,1.0,-1.0,1.0,1.0,1.0,1.0
2014-08-17,-1.0,-1.0,1.0,1.0,-1.0,1.0
2014-08-24,-1.0,-1.0,1.0,1.0,1.0,1.0
2014-08-31,-1.0,-1.0,1.0,1.0,1.0,1.0
2014-09-07,-1.0,-1.0,1.0,1.0,1.0,1.0
2014-09-14,-1.0,-1.0,1.0,-1.0,1.0,1.0
2014-09-21,-1.0,-1.0,1.0,-1.0,1.0,1.0
2014-09-28,-1.0,-1.0,1.0,-1.0,1.0,1.0
2014-10-05,-1.0,-1.0,1.0,-1.0,1.0,1.0
2014-10-12,-1.0,-1.0,1.0,-1.0,1.0,1.0
2014-10-19,-1.0,-1.0,1.0,-1.0,1.0,1.0
